Time (GMT),Time,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
138,00:01:38,0.00E+00,0,5,00b4,59,0d98,5a,57,0,52,45,330,36e4,5
139,00:01:39,0.00E+00,0,5,00b5,59,0d98,5a,57,0,53,45,033c,36c6,5
139,00:01:39,0.00E+00,0,5,00b4,59,0d48,5a,57,0,53,45,033c,36c6,5
140,00:01:40,0.00E+00,0,5,00b5,59,0d48,5a,57,0,53,45,335,36bf,5
140,00:01:40,0.00E+00,0,5,00b5,5a,0dac,5a,57,0,53,45,335,36bf,5
141,00:01:41,0.00E+00,0,5,00b4,5a,0dac,5a,57,0,53,45,033a,36d4,5
141,00:01:41,0e2c,0,5,00b6,5a,0d98,5a,57,0,53,45,033a,36d4,5
142,00:01:42,0.00E+00,0,5,00b4,5a,0d98,5a,57,0,53,45,337,36e6,5
142,00:01:42,0.00E+00,0,5,00b6,5a,0d00,5a,57,0,53,45,300,3600,5
143,00:01:43,0e2c,0,5,00b5,5a,0d00,5a,57,0,53,45,300,3600,5
143,00:01:43,0e1c,0,5,00b5,5a,0d00,5a,57,0,53,45,300,3600,5
144,00:01:44,0e3c,0,5,00b6,5a,0d00,5a,57,0,53,45,300,3600,5
144,00:01:44,0.00E+00,0,5,00b5,59,0d00,5a,57,0,53,45,300,3600,5
145,00:01:45,0.00E+00,0,5,00b5,59,0d00,5a,57,0,53,45,300,3600,5
145,00:01:45,0.00E+00,0,5,00b4,5a,0d00,5a,57,0,53,45,300,3600,5
146,00:01:46,0e3c,0,5,00b4,5a,0d00,5a,57,0,53,45,300,3600,5
146,00:01:46,0.00E+00,0,5,00b6,5a,0d00,5a,57,0,53,45,300,3600,5
147,00:01:47,0e2c,0,5,00b3,5a,0d00,5a,57,0,53,45,300,3600,5
147,00:01:47,0e2c,0,5,00b4,59,0d00,5a,57,0,53,45,300,3600,5
148,00:01:48,0.00E+00,0,5,00b4,59,0d00,5a,57,0,53,45,300,3600,5
148,00:01:48,0.00E+00,0,5,00b4,59,0d00,5a,57,0,53,45,300,3600,5
149,00:01:49,0e3c,0,5,00b3,59,0d00,5a,57,0,53,45,300,3600,5
149,00:01:49,0e2c,0,5,00b3,58,0dc0,5a,57,0,53,45,032d,36cc,5
150,00:01:50,0.00E+00,0,5,00b4,58,0dc0,5a,57,0,53,45,326,36da,5
150,00:01:50,0.00E+00,0,5,00b3,59,0d70,5a,57,0,53,45,326,36da,5
151,00:01:51,0.00E+00,0,5,00b4,59,0d70,5a,57,0,53,45,032e,36d0,5
151,00:01:51,0.00E+00,0,5,00b4,59,0d70,5a,57,0,53,45,032e,36d0,5
152,00:01:52,0.00E+00,0,5,00b3,59,0d70,5a,57,0,53,45,332,36be,5
152,00:01:52,0.00E+00,0,5,00b3,58,0d20,5a,57,0,53,45,332,36be,5
153,00:01:53,0e1c,0,5,00b4,58,0d20,5a,57,0,53,45,337,36c1,5
153,00:01:53,0.00E+00,0,5,00b3,58,0d34,5a,57,0,53,45,337,36c1,5
154,00:01:54,0.00E+00,0,5,00b3,58,0d34,5a,57,0,53,45,033f,36d5,5
154,00:01:54,0.00E+00,0,5,00b4,59,0d70,5a,57,0,53,45,033f,36d5,5
155,00:01:55,0.00E+00,0,5,00b4,59,0d70,5a,57,0,54,45,321,36d4,5
155,00:01:55,0e2c,0,5,00b4,58,0d48,5a,57,0,54,45,321,36d4,5
156,00:01:56,0.00E+00,0,5,00b3,58,0d48,5a,57,0,54,45,330,36cc,5
156,00:01:56,0.00E+00,0,5,00b2,57,0d00,5a,57,0,54,45,300,3600,5
157,00:01:57,0.00E+00,0,5,00b1,57,0d00,5a,57,0,54,45,300,3600,5
157,00:01:57,0.00E+00,0,5,00b1,58,0d00,5a,57,0,54,45,300,3600,5
158,00:01:58,0.00E+00,0,5,00b2,58,0d00,5a,57,0,54,45,300,3600,5
158,00:01:58,0.00E+00,0,5,00b1,57,0d00,5a,57,0,54,45,300,3600,5
159,00:01:59,0.00E+00,0,5,00b2,57,0d00,5a,57,0,54,45,300,3600,5
159,00:01:59,0e2c,0,5,00b2,58,0d00,5a,57,0,54,45,300,3600,5
200,00:02:00,0.00E+00,0,5,00b2,58,0d00,5a,57,0,54,45,300,3600,5
200,00:02:00,0e2c,0,5,00b2,58,0d00,5a,57,0,54,45,300,3600,5
201,00:02:01,0.00E+00,0,5,00b3,58,0d00,5a,57,0,54,45,300,3600,5
201,00:02:01,0e2c,0,5,00b3,58,0c00,5a,57,0,54,45,300,3600,5
202,00:02:02,0.00E+00,0,5,00b2,58,0c00,5a,57,0,54,45,300,3600,5
202,00:02:02,0.00E+00,0,5,00b3,58,0d00,5a,57,0,54,45,300,3600,5
